Ore	Volume	Size	Tri	Pye	Mex	Iso	Noc	Zyd	Meg	Mor

Veldspar	0.1	100	400	0	0	0	0	0	0	0
Concentrated Veldspar	0.1	100	420	0	0	0	0	0	0	0
Dense Veldspar	0.1	100	440	0	0	0	0	0	0	0
Scordite	0.15	100	150	90	0	0	0	0	0	0
Condensed Scordite	0.15	100	158	95	0	0	0	0	0	0
Massive Scordite	0.15	100	165	99	0	0	0	0	0	0
Pyroxeres	0.3	100	0	90	30	0	0	0	0	0
Solid Pyroxeres	0.3	100	0	95	30	0	0	0	0	0
Viscous Pyroxeres	0.3	100	0	99	33	0	0	0	0	0
Plagioclase	0.35	100	175	0	70	0	0	0	0	0
Azure Plagioclase	0.35	100	184	0	74	0	0	0	0	0
Rich Plagioclase	0.35	100	193	0	77	0	0	0	0	0
Omber	0.6	100	0	90	0	75	0	0	0	0
Silvery Omber	0.6	100	0	95	0	79	0	0	0	0
Golden Omber	0.6	100	0	99	0	83	0	0	0	0
Kernite	1.2	100	0	0	60	120	0	0	0	0
Luminous Kernite	1.2	100	0	0	63	126	0	0	0	0
Fiery Kernite	1.2	100	0	0	66	132	0	0	0	0
Jaspet	2	100	0	0	150	0	50	0	0	0
Pure Jaspet	2	100	0	0	158	0	53	0	0	0
Pristine Jaspet	2	100	0	0	265	0	55	0	0	0
Hemorphite	3	100	0	0	0	240	90	0	0	0
Vivid Hemorphite	3	100	0	0	0	252	95	0	0	0
Radiant Hemorphite	3	100	0	0	0	264	99	0	0	0
Hedbergite	3	100	0	450	0	0	120	0	0	0
Vitric Hedbergite	3	100	0	473	0	0	126	0	0	0
Glazed Hedbergite	3	100	0	495	0	0	132	0	0	0
Gneiss	5	100	0	2000	1500	800	0	0	0	0
Iridescent Gneiss	5	100	0	2100	1575	840	0	0	0	0
Prismatic Gneiss	5	100	0	2200	1650	880	0	0	0	0
Dark Ochre	8	100	0	0	1360	1200	320	0	0	0
Onyx Ochre	8	100	0	0	1428	1260	336	0	0	0
Obsidian Ochre	8	100	0	0	1496	1320	352	0	0	0
Spodumain	16	100	48000	0	0	1000	160	80	40	0
Bright Spodumain	16	100	50400	0	0	1050	168	84	42	0
Gleaming Spodumain	16	100	52800	0	0	1100	176	88	44	0
Crokite	16	100	0	800	2000	0	800	0	0	0
Sharp Crokite	16	100	0	840	2100	0	840	0	0	0
Crystalline Crokite	16	100	0	880	2200	0	880	0	0	0
Bistot	16	100	0	3200	1200	0	0	160	0	0
Triclinic Bistot	16	100	0	3360	1260	0	0	168	0	0
Monoclinic Bistot	16	100	0	3520	1320	0	0	176	0	0
Arkonor	16	100	0	3200	1200	0	0	0	120	0
Crimson Arkonor	16	100	0	3360	1260	0	0	0	126	0
Prime Arkonor	16	100	0	3520	1320	0	0	0	132	0
Mercoxit	40	100	0	0	0	0	0	0	0	140
Magma Mercoxit	40	100	0	0	0	0	0	0	0	147
Vitreous Mercoxit	40	100	0	0	0	0	0	II0	0	154
